epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4241,1.44372,2.26386,1.65048,0.70162,0.49135,0.54348,0.29259,1.5196,1.98811,1.74408,0.000547118,0.000547118,0.000547118
2,25.036,1.40255,1.68581,1.55109,0.31719,0.32108,0.26339,0.09496,2.01613,2.71443,2.73747,0.00108095,0.00108095,0.00108095
3,35.4245,1.40283,1.58779,1.55782,0.43764,0.50569,0.44926,0.2313,1.62463,2.06032,1.97567,0.00159278,0.00159278,0.00159278
4,45.7171,1.42931,1.5078,1.56253,0.64966,0.68425,0.68992,0.34973,1.67815,1.52186,1.97551,0.00156798,0.00156798,0.00156798
5,56.0739,1.38793,1.42261,1.53808,0.60775,0.50766,0.5047,0.27612,1.44378,1.8063,1.71552,0.00153497,0.00153497,0.00153497
6,66.3358,1.37954,1.37893,1.53129,0.51637,0.63921,0.62477,0.32483,1.54768,1.62844,1.79618,0.00150197,0.00150197,0.00150197
7,76.6234,1.35181,1.3024,1.50618,0.71285,0.7069,0.74535,0.42806,1.4461,1.34433,1.65861,0.00146896,0.00146896,0.00146896
8,86.8651,1.35164,1.27091,1.50175,0.54936,0.57646,0.64684,0.33401,1.5193,1.47542,1.7554,0.00143595,0.00143595,0.00143595
9,97.1754,1.30904,1.21469,1.48954,0.70779,0.71188,0.7559,0.40123,1.507,1.2069,1.72957,0.00140295,0.00140295,0.00140295
10,107.453,1.27519,1.18099,1.46721,0.8049,0.76416,0.832,0.50705,1.28782,1.02692,1.53585,0.00136994,0.00136994,0.00136994
11,117.668,1.28062,1.16308,1.46448,0.66416,0.74226,0.79767,0.46455,1.36937,1.14688,1.59167,0.00133693,0.00133693,0.00133693
12,127.919,1.28312,1.09999,1.44143,0.81677,0.73296,0.84108,0.52212,1.33971,1.0266,1.59704,0.00130393,0.00130393,0.00130393
13,138.199,1.25496,1.10664,1.43762,0.84719,0.74244,0.83335,0.52309,1.28538,0.95178,1.51215,0.00127092,0.00127092,0.00127092
14,148.458,1.25089,1.08021,1.43735,0.78553,0.73457,0.82428,0.49558,1.36143,1.00216,1.5991,0.00123791,0.00123791,0.00123791
15,158.693,1.23643,1.11024,1.43709,0.88175,0.77366,0.86289,0.53132,1.35992,0.96381,1.57099,0.00120491,0.00120491,0.00120491
16,168.954,1.24906,1.07474,1.42381,0.84784,0.73952,0.83732,0.52681,1.30984,0.9725,1.54763,0.0011719,0.0011719,0.0011719
17,179.179,1.19735,1.04659,1.40034,0.81317,0.75739,0.83261,0.52004,1.28957,0.96592,1.52079,0.00113889,0.00113889,0.00113889
18,189.413,1.22268,1.02023,1.41858,0.82556,0.73658,0.86242,0.55001,1.26079,0.91025,1.49744,0.00110589,0.00110589,0.00110589
19,199.664,1.19209,1.00617,1.38529,0.82685,0.73278,0.81505,0.48558,1.43362,0.99915,1.62122,0.00107288,0.00107288,0.00107288
20,209.927,1.21994,1.01511,1.4122,0.74568,0.78534,0.83255,0.51619,1.29552,0.96314,1.54872,0.00103987,0.00103987,0.00103987
21,220.196,1.16402,0.98444,1.39013,0.83059,0.73668,0.84047,0.53367,1.26059,0.91116,1.48541,0.00100687,0.00100687,0.00100687
22,230.457,1.16054,0.97916,1.37219,0.8065,0.79646,0.85412,0.52961,1.25778,0.88174,1.48225,0.000973861,0.000973861,0.000973861
23,240.73,1.19774,0.99056,1.39587,0.85014,0.77369,0.86558,0.55224,1.24934,0.83828,1.50313,0.000940855,0.000940855,0.000940855
24,250.985,1.13822,0.96692,1.36571,0.82368,0.81109,0.86578,0.56211,1.24999,0.82555,1.47794,0.000907848,0.000907848,0.000907848
25,261.349,1.13011,0.95229,1.36696,0.80225,0.71222,0.81327,0.50718,1.26651,0.94116,1.53374,0.000874842,0.000874842,0.000874842
26,271.568,1.17296,0.94773,1.36628,0.81321,0.80488,0.87,0.55843,1.24787,0.83537,1.48473,0.000841835,0.000841835,0.000841835
27,281.841,1.12093,0.92482,1.35749,0.80128,0.78448,0.85895,0.56882,1.25882,0.81907,1.49695,0.000808828,0.000808828,0.000808828
28,292.129,1.14886,0.93416,1.36565,0.85187,0.7701,0.86857,0.56305,1.25867,0.86704,1.49297,0.000775822,0.000775822,0.000775822
29,302.342,1.11463,0.90201,1.33418,0.8241,0.78797,0.84466,0.55202,1.21061,0.88732,1.45287,0.000742815,0.000742815,0.000742815
30,312.571,1.11009,0.93338,1.34516,0.86855,0.78406,0.87159,0.5739,1.22713,0.80098,1.46426,0.000709809,0.000709809,0.000709809
31,322.86,1.08729,0.88617,1.33489,0.76132,0.81504,0.86426,0.5558,1.20653,0.80635,1.45509,0.000676802,0.000676802,0.000676802
32,333.105,1.13842,0.91281,1.35419,0.85488,0.76308,0.84828,0.54761,1.21987,0.85764,1.4446,0.000643795,0.000643795,0.000643795
33,343.223,1.10096,0.88565,1.33246,0.78299,0.83395,0.87305,0.57645,1.25099,0.78183,1.48076,0.000610789,0.000610789,0.000610789
34,353.447,1.06268,0.86065,1.3285,0.85541,0.76998,0.87562,0.57619,1.21682,0.80979,1.45124,0.000577782,0.000577782,0.000577782
35,363.684,1.10706,0.87308,1.32422,0.82755,0.81363,0.87604,0.57283,1.20591,0.77308,1.46701,0.000544776,0.000544776,0.000544776
36,373.919,1.09789,0.85093,1.32701,0.81885,0.81939,0.87372,0.58351,1.25352,0.77739,1.48354,0.000511769,0.000511769,0.000511769
37,384.15,1.07092,0.8351,1.31526,0.84846,0.7839,0.86078,0.56317,1.21963,0.77728,1.47173,0.000478762,0.000478762,0.000478762
38,394.4,1.04943,0.82002,1.29928,0.84019,0.80613,0.8697,0.57486,1.22298,0.78378,1.4498,0.000445756,0.000445756,0.000445756
39,404.645,1.07794,0.83707,1.31742,0.83823,0.8092,0.87506,0.56897,1.24964,0.79571,1.47794,0.000412749,0.000412749,0.000412749
40,414.899,1.05919,0.82738,1.30665,0.85481,0.78673,0.87853,0.58122,1.22193,0.76784,1.46286,0.000379743,0.000379743,0.000379743
41,426.534,0.98643,0.77875,1.33662,0.85328,0.7815,0.87134,0.58312,1.22566,0.78637,1.47523,0.000346736,0.000346736,0.000346736
42,436.759,0.98182,0.75055,1.32076,0.83799,0.77317,0.86411,0.58392,1.19882,0.78391,1.43733,0.000313729,0.000313729,0.000313729
43,447.198,0.94492,0.69706,1.2849,0.84717,0.78602,0.87316,0.58349,1.20128,0.77246,1.45335,0.000280723,0.000280723,0.000280723
44,457.438,0.95155,0.67702,1.29867,0.81982,0.81586,0.8759,0.59277,1.19584,0.73848,1.42319,0.000247716,0.000247716,0.000247716
45,467.789,0.92793,0.66053,1.29113,0.81959,0.81428,0.87304,0.58897,1.1785,0.72968,1.42312,0.00021471,0.00021471,0.00021471
46,478.129,0.91701,0.64745,1.27633,0.82539,0.81247,0.87643,0.5911,1.18653,0.71645,1.43277,0.000181703,0.000181703,0.000181703
47,488.49,0.90167,0.64509,1.25721,0.81007,0.82518,0.86925,0.58547,1.18333,0.74219,1.42345,0.000148696,0.000148696,0.000148696
48,498.998,0.91481,0.64138,1.26342,0.82191,0.80705,0.86452,0.59018,1.18433,0.72422,1.41985,0.00011569,0.00011569,0.00011569
49,509.257,0.89164,0.65627,1.25447,0.82734,0.79401,0.86843,0.58817,1.18587,0.71624,1.4282,8.26832e-05,8.26832e-05,8.26832e-05
50,519.641,0.8829,0.63319,1.24936,0.83889,0.79184,0.87105,0.59231,1.18605,0.71103,1.4263,4.96766e-05,4.96766e-05,4.96766e-05
